ID_GDO_Well_Name	X	Y	Z_asl	Vertical_Well_Length_ne_MD
69203	-703912.3	-962322.6	243.09	44
69205	-703636.6	-962552.6	266.7	222
69206	-703719.5	-963260	277.8	277
69207	-703832.2	-963050.2	280.99	24
69208	-703848.4	-963192	282.27	24
69209	-704006.6	-963273.5	297.9	25
69213	-703965.1	-963161	289	28
69214	-703998	-963134.5	288.76	27
69215	-703528.5	-962526.9	264.34	30
69216	-703814.1	-963239.7	284.11	20
69217	-703896.2	-963158.5	288.17	26
69218	-703836.2	-963303.9	291.6	22
69225	-701850	-962670	245	8
69226	-701880	-962675	245	12
69227	-701910	-962685	245	12
69228	-701885	-962695	245	10
69229	-701910	-962700	245	12
69230	-701905	-962730	245	12
69231	-701870	-962725	245	12
69232	-701694.9	-961939.5	263.6	10
69233	-701705.7	-961628.6	265.4	50
69234	-701954.9	-961418.7	259.6	12
69235	-702088.7	-961241.2	257.9	15
69236	-702210.1	-961036.1	254	51
69237	-702303.4	-960797.5	248.8	15
69238	-702400	-960566.6	242	22
69239	-701243.2	-962276.2	274.9	18
69240	-700893.8	-962160.6	292.5	26
69241	-700712.7	-962108.6	298.5	20
69242	-700950.1	-961920.9	285.8	27
69243	-700297.2	-962115.1	308	20
69244	-701011.1	-961876.5	284.4	25
69245	-700869.1	-962406.7	295.6	26
69246	-700765.2	-963470.5	282.6	50
69247	-700669.3	-963576.2	284.3	40
69248	-700610.8	-963673.7	282.9	36
69249	-700360.2	-963590.3	316.3	28
69250	-700557.2	-963564.5	296.8	24
69251	-700603.4	-963333.2	294	53
69252	-700735.1	-963297	280.3	42
69253	-700834.5	-963295.2	270.8	46
69258	-697499.8	-964840	331.2	11
69263	-698695.2	-964616.7	333.3	25
69264	-698657.8	-964247.7	330.8	17
69265	-698569.2	-964713.1	337.3	26
69266	-698236.4	-964541.1	346.3	26
69267	-698738.7	-964874.4	314.3	13
69268	-698239.8	-962524	318.3	25
69269	-698179.4	-962330.8	318.4	25
69270	-698345.8	-962298.2	320	25
69271	-698064.8	-962226.2	316.8	18
69272	-697677.4	-962098.3	326.1	20
69273	-697741.1	-962351.4	319.8	15
69274	-700545.2	-962753.1	312.7	18
69275	-699208.5	-963108	324.5	10
69276	-698511.2	-962570.6	313.1	8
69277	-699952	-962118.8	306.5	12
69278	-701083.3	-961175.9	275.2	12
69279	-701650.6	-961241.4	261	8
69280	-701876.9	-960896.1	250.8	11
69281	-702432.8	-960611	243.9	9
69282	-703064.8	-962278.1	242.1	6
69283	-703342.1	-962895.4	260.8	10
69284	-698210	-963576.7	314.8	8
69285	-698161.2	-964142	338.3	12
69286	-697820.6	-963766.2	321.8	18
69287	-697571.5	-964117.5	310.8	16
69288	-697641.3	-964249.7	323.7	22
69289	-697985.9	-963996.2	330.2	16
69290	-697595.9	-964715.3	335.5	15
69291	-697593.6	-963367.2	314.8	22
69292	-697508.7	-963177.6	328.9	14
69293	-697707.5	-963137	316.5	26
69294	-697988.9	-963294.2	306.5	18
69295	-697707.5	-963002.8	316.4	24
69297	-699126.65	-966446.2	267.45	11
69299	-698260	-963770	321.4	45
69300	-702446.21	-962880.82	244.1	11
69301	-702641.54	-962289.64	243.47	15
69302	-697997.8	-961651.3	311.17	73
69303	-698397	-961126	285.34	30
69304	-697325.9	-961057.7	307.2	40
69305	-697793	-962428	304.71	20
69306	-698228.6	-963172.6	288.5	10
69307	-698567.7	-964667	320	12
69308	-698450.1	-964993.8	320	7
69309	-698402.4	-964919.3	323.5	5
69310	-698357	-964862.5	328.2	9
69311	-698617.6	-964505.2	319.2	12
69312	-698800.5	-964774	318.6	6
69317	-699585.4	-964557.1	284.4	23
69318	-692334	-964508.3	288.9	28
69319	-699001.3	-964717.5	307.2	31
69320	-699182.7	-964796.1	290.7	32
69322	-701070	-962960	268.8	9
69331	-701480	-962420	269.5	3
69332	-701475	-962460	296.4	3
69344	-701832.4	-962633.6	247.3	8
69345	-701849.1	-962637.9	247.5	8
69346	-701848.5	-962616.4	248.5	8
69347	-701835.5	-962612.1	249.5	8
69348	-701746.6	-962662.5	256.6	7
69349	-701748.3	-962653.2	256.7	7
69350	-701743.4	-962652	256.7	7
69351	-702562.3	-962015.9	241.3	40
69352	-702522.44	-962291.07	242.35	36
69353	-702751.02	-962290.27	243.41	36
69354	-702797	-961918.6	231	30
69355	-702958.8	-961595.3	237.81	45
69356	-702839.1	-961671.25	239.97	36
69357	-702832.6	-961710.4	233.83	36
69358	-702926.4	-961717.7	240.3	17
69389	-702163.3	-962658.4	245.6	374
69395	-700949.49	-962382.28	291.18	11
69396	-700876.19	-962267.22	294.88	10
69397	-700875.96	-962130.63	292.72	11
69398	-700962.7	-962116.43	288.6	12
69399	-701050.34	-962094.05	283.71	12
69400	-701169.24	-962053.79	279.7	12
69401	-701284.52	-962054.23	277.07	10
69402	-700747.73	-962385.03	302.94	6
69403	-700743.69	-962275.36	301.96	6
69404	-701066.57	-961995.67	281.59	10
69405	-700999.05	-962233.68	288.1	5
69406	-701038.5	-962248	280.3	10
69407	-701044	-962174.2	278.5	10
69408	-701123.9	-962122.4	281.9	14
69409	-701041	-964073	263.3	5
69412	-700956	-964062	259.3	4
69414	-701023	-964032	262.5	5
69417	-700970	-964040	260.8	5
69419	-701032	-963984	261.3	6
69421	-700990	-963977	260.6	5
69423	-700958	-963960	259.7	4
69424	-700990	-963937	259.2	3
69425	-701018	-963911	260.7	5
69427	-700951	-963903	257.6	4
69429	-700906	-963970	259.8	4
69431	-700851	-964006	259.2	4
69433	-700949	-963998	260.1	2
69435	-697387.1	-963147.6	335.5	8
69436	-697527.6	-963282.1	323.8	14
69437	-697425.1	-963292.7	331.2	6
69438	-697428.7	-963358.8	328	4
69439	-697387.8	-963371.7	329.5	7
69440	-697296.9	-963378.5	325.3	16
69441	-697449.2	-963214.7	332.8	13
69442	-697458.1	-963619.6	308.1	20
69443	-697364.6	-963246.7	335.1	10
69444	-697284.1	-963268.3	335.3	12
69445	-699675	-964587	279.8	5
69446	-699646	-964598	281.3	2
69447	-699615	-964607	278.5	4
69448	-699611	-964587	280.1	4
69449	-699643	-964571	280.9	4
69450	-699676	-964568	279.8	4
69451	-699642	-964546	281.6	3
69452	-699699	-964578	279.7	4
69462	-698008.9	-961929.8	297.71	50
69463	-698380.9	-961561	292.2	25
69464	-697803.8	-962427.4	304.47	35
69465	-697882.8	-962518.9	305.67	20
69466	-698157.5	-962451.2	274.9	15
69467	-698492.1	-962549.9	313.28	60
69468	-698427.1	-962281.9	321.87	60
69469	-698432.6	-962777.9	306.61	75
69511	-702807	-962339	244	14
69512	-702820	-962316	243.5	12
69513	-702832	-962324	243.6	12
69514	-702782	-962570	244.2	12
69515	-702813	-962578	244.1	12
69516	-702858	-962598	244.6	10
69517	-702869	-962605	244.8	10
69518	-702863	-962614	244.9	10
69519	-702844	-962605	244.7	10
69520	-702855	-962630	244.6	10
69521	-702831	-962616	244.5	12
69522	-702816	-962600	244.3	12
69523	-702820	-962635	244.2	10
69524	-702852	-962523	244.3	10
69525	-702817	-962518	244.3	10
