ID_GDO_Well_Name	TOP_MD_hloubka_m	BASE_MD_hloubka_m	Horizon_index	Horizon_nazev	Autor_interpretace	GIS_X	GIS_Y
F_69203	0	8.1	Q	Q	Jan Bohadlo	-703912.3	-962322.6
F_69203	8.1	44.1	TNw	TNw	Jan Bohadlo	-703912.3	-962322.6
F_69205	0	1.1	TNg	TNg	Jan Bohadlo	-703636.6	-962552.6
F_69205	1.1	17	TCb3	TCb3	Jan Bohadlo	-703636.6	-962552.6
F_69205	17	26	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-703636.6	-962552.6
F_69205	26	49.2	TCb3	TCb3	Jan Bohadlo	-703636.6	-962552.6
F_69205	49.2	72.15	TNd	TNd	Jan Bohadlo	-703636.6	-962552.6
F_69205	72.15	95.4	TCb2	TCb2	Jan Bohadlo	-703636.6	-962552.6
F_69205	95.4	163.1	TMw	TMw	Jan Bohadlo	-703636.6	-962552.6
F_69205	163.1	194.1	TPw	TPw	Jan Bohadlo	-703636.6	-962552.6
F_69205	194.1	222.5	TB	TB	Jan Bohadlo	-703636.6	-962552.6
F_69206	0	1.9	TNg	TNg	Jan Bohadlo	-703719.5	-963260
F_69206	1.9	16	TCb3	TCb3	Jan Bohadlo	-703719.5	-963260
F_69206	16	29.4	TNd	TNd	Jan Bohadlo	-703719.5	-963260
F_69206	29.4	43.4	TCb2	TCb2	Jan Bohadlo	-703719.5	-963260
F_69206	43.4	94.5	TMw	TMw	Jan Bohadlo	-703719.5	-963260
F_69206	94.5	115.6	TCb1	TCb1	Jan Bohadlo	-703719.5	-963260
F_69206	115.6	119.2	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-703719.5	-963260
F_69206	119.2	270.15	TPw	TPw	Jan Bohadlo	-703719.5	-963260
F_69206	270.15	277	Sx	Sx	Jan Bohadlo	-703719.5	-963260
F_69207	0	0.5	Q	Q	Jan Bohadlo	-703832.2	-963050.2
F_69207	0.5	4.5	TNg	TNg	Jan Bohadlo	-703832.2	-963050.2
F_69207	4.5	22.5	TCb3	TCb3	Jan Bohadlo	-703832.2	-963050.2
F_69207	22.5	23.7	TNd	TNd	Jan Bohadlo	-703832.2	-963050.2
F_69208	0	0.6	Q	Q	Jan Bohadlo	-703848.4	-963192
F_69208	0.6	6	TNg	TNg	Jan Bohadlo	-703848.4	-963192
F_69208	6	20	TCb3	TCb3	Jan Bohadlo	-703848.4	-963192
F_69208	20	24	TNd	TNd	Jan Bohadlo	-703848.4	-963192
F_69209	0	2.2	Q	Q	Jan Bohadlo	-704006.6	-963273.5
F_69209	2.2	4	TNg	TNg	Jan Bohadlo	-704006.6	-963273.5
F_69209	4	25.3	TCb3	TCb3	Jan Bohadlo	-704006.6	-963273.5
F_69213	0	3.2	Q	Q	Jan Bohadlo	-703965.1	-963161
F_69213	3.2	9.5	TNg	TNg	Jan Bohadlo	-703965.1	-963161
F_69213	9.5	27.5	TCb3	TCb3	Jan Bohadlo	-703965.1	-963161
F_69214	0	9.4	TNg	TNg	Jan Bohadlo	-703998	-963134.5
F_69214	9.4	27	TCb3	TCb3	Jan Bohadlo	-703998	-963134.5
F_69215	0	30	TCb3	TCb3	Jan Bohadlo	-703528.5	-962526.9
F_69216	0	20	TCb3	TCb3	Jan Bohadlo	-703814.1	-963239.7
F_69217	0	26	TCb3	TCb3	Jan Bohadlo	-703896.2	-963158.5
F_69218	0	22.5	TNw	TNw	Jan Bohadlo	-703836.2	-963303.9
F_69225	0	4.8	Q	Q	Jan Bohadlo	-701850	-962670
F_69225	4.8	8	TNw	TNw	Jan Bohadlo	-701850	-962670
F_69226	0	5	Q	Q	Jan Bohadlo	-701880	-962675
F_69226	5	12	TNw	TNw	Jan Bohadlo	-701880	-962675
F_69227	0	4.6	Q	Q	Jan Bohadlo	-701910	-962685
F_69227	4.6	12	TNw	TNw	Jan Bohadlo	-701910	-962685
F_69228	0	4	Q	Q	Jan Bohadlo	-701885	-962695
F_69228	4	10.3	TNw	TNw	Jan Bohadlo	-701885	-962695
F_69229	0	5.1	Q	Q	Jan Bohadlo	-701910	-962700
F_69229	5.1	12	TNw	TNw	Jan Bohadlo	-701910	-962700
F_69230	0	3.6	Q	Q	Jan Bohadlo	-701905	-962730
F_69230	3.6	12	TNw	TNw	Jan Bohadlo	-701905	-962730
F_69231	0	7.5	Q	Q	Jan Bohadlo	-701870	-962725
F_69231	7.5	12	TNw	TNw	Jan Bohadlo	-701870	-962725
F_69232	0	4.9	Q	Q	Jan Bohadlo	-701694.9	-961939.5
F_69232	4.9	10.3	TNw	TNw	Jan Bohadlo	-701694.9	-961939.5
F_69233	0	4.9	Q	Q	Jan Bohadlo	-701705.7	-961628.6
F_69233	4.9	39	TNg	TNg	Jan Bohadlo	-701705.7	-961628.6
F_69233	39	42.5	TCb3	TCb3	Jan Bohadlo	-701705.7	-961628.6
