ID_GDO_Well_Name	X	Y	Z_asl	Vertical_Well_Length_ne_MD
F_69203	-703912.3	-962322.6	243.09	44
F_69205	-703636.6	-962552.6	266.7	222
F_69206	-703719.5	-963260	277.8	277
F_69207	-703832.2	-963050.2	280.99	24
F_69208	-703848.4	-963192	282.27	24
F_69209	-704006.6	-963273.5	297.9	25
F_69213	-703965.1	-963161	289	28
F_69214	-703998	-963134.5	288.76	27
F_69215	-703528.5	-962526.9	264.34	30
F_69216	-703814.1	-963239.7	284.11	20
F_69217	-703896.2	-963158.5	288.17	26
F_69218	-703836.2	-963303.9	291.6	22
F_69225	-701850	-962670	245	8
F_69226	-701880	-962675	245	12
F_69227	-701910	-962685	245	12
F_69228	-701885	-962695	245	10
F_69229	-701910	-962700	245	12
F_69230	-701905	-962730	245	12
F_69231	-701870	-962725	245	12
F_69232	-701694.9	-961939.5	263.6	10
F_69233	-701705.7	-961628.6	265.4	50
F_69234	-701954.9	-961418.7	259.6	12
F_69235	-702088.7	-961241.2	257.9	15
F_69236	-702210.1	-961036.1	254	51
F_69237	-702303.4	-960797.5	248.8	15
F_69238	-702400	-960566.6	242	22
F_69239	-701243.2	-962276.2	274.9	18
F_69240	-700893.8	-962160.6	292.5	26
F_69241	-700712.7	-962108.6	298.5	20
F_69242	-700950.1	-961920.9	285.8	27
F_69243	-700297.2	-962115.1	308	20
F_69244	-701011.1	-961876.5	284.4	25
F_69245	-700869.1	-962406.7	295.6	26
F_69246	-700765.2	-963470.5	282.6	50
F_69247	-700669.3	-963576.2	284.3	40
F_69248	-700610.8	-963673.7	282.9	36
F_69249	-700360.2	-963590.3	316.3	28
F_69250	-700557.2	-963564.5	296.8	24
F_69251	-700603.4	-963333.2	294	53
F_69252	-700735.1	-963297	280.3	42
F_69253	-700834.5	-963295.2	270.8	46
F_69258	-697499.8	-964840	331.2	11
F_69263	-698695.2	-964616.7	333.3	25
F_69264	-698657.8	-964247.7	330.8	17
F_69265	-698569.2	-964713.1	337.3	26
F_69266	-698236.4	-964541.1	346.3	26
F_69267	-698738.7	-964874.4	314.3	13
F_69268	-698239.8	-962524	318.3	25
F_69269	-698179.4	-962330.8	318.4	25
F_69270	-698345.8	-962298.2	320	25
F_69271	-698064.8	-962226.2	316.8	18
F_69272	-697677.4	-962098.3	326.1	20
F_69273	-697741.1	-962351.4	319.8	15
F_69274	-700545.2	-962753.1	312.7	18
F_69275	-699208.5	-963108	324.5	10
F_69276	-698511.2	-962570.6	313.1	8
F_69277	-699952	-962118.8	306.5	12
F_69278	-701083.3	-961175.9	275.2	12
F_69279	-701650.6	-961241.4	261	8
F_69280	-701876.9	-960896.1	250.8	11
F_69281	-702432.8	-960611	243.9	9
F_69282	-703064.8	-962278.1	242.1	6
F_69283	-703342.1	-962895.4	260.8	10
F_69284	-698210	-963576.7	314.8	8
F_69285	-698161.2	-964142	338.3	12
F_69286	-697820.6	-963766.2	321.8	18
F_69287	-697571.5	-964117.5	310.8	16
F_69288	-697641.3	-964249.7	323.7	22
F_69289	-697985.9	-963996.2	330.2	16
F_69290	-697595.9	-964715.3	335.5	15
F_69291	-697593.6	-963367.2	314.8	22
F_69292	-697508.7	-963177.6	328.9	14
F_69293	-697707.5	-963137	316.5	26
F_69294	-697988.9	-963294.2	306.5	18
F_69295	-697707.5	-963002.8	316.4	24
F_69297	-699126.65	-966446.2	267.45	11
F_69299	-698260	-963770	321.4	45
F_69300	-702446.21	-962880.82	244.1	11
F_69301	-702641.54	-962289.64	243.47	15
F_69302	-697997.8	-961651.3	311.17	73
F_69303	-698397	-961126	285.34	30
F_69304	-697325.9	-961057.7	307.2	40
F_69305	-697793	-962428	304.71	20
F_69306	-698228.6	-963172.6	288.5	10
F_69307	-698567.7	-964667	320	12
F_69308	-698450.1	-964993.8	320	7
F_69309	-698402.4	-964919.3	323.5	5
F_69310	-698357	-964862.5	328.2	9
F_69311	-698617.6	-964505.2	319.2	12
F_69312	-698800.5	-964774	318.6	6
F_69317	-699585.4	-964557.1	284.4	23
F_69318	-692334	-964508.3	288.9	28
F_69319	-699001.3	-964717.5	307.2	31
F_69320	-699182.7	-964796.1	290.7	32
F_69322	-701070	-962960	268.8	9
F_69331	-701480	-962420	269.5	3
F_69332	-701475	-962460	296.4	3
F_69344	-701832.4	-962633.6	247.3	8
F_69345	-701849.1	-962637.9	247.5	8
F_69346	-701848.5	-962616.4	248.5	8
F_69347	-701835.5	-962612.1	249.5	8
F_69348	-701746.6	-962662.5	256.6	7
F_69349	-701748.3	-962653.2	256.7	7
F_69350	-701743.4	-962652	256.7	7
F_69351	-702562.3	-962015.9	241.3	40
F_69352	-702522.44	-962291.07	242.35	36
F_69353	-702751.02	-962290.27	243.41	36
F_69354	-702797	-961918.6	231	30
F_69355	-702958.8	-961595.3	237.81	45
F_69356	-702839.1	-961671.25	239.97	36
F_69357	-702832.6	-961710.4	233.83	36
F_69358	-702926.4	-961717.7	240.3	17
F_69389	-702163.3	-962658.4	245.6	374
F_69395	-700949.49	-962382.28	291.18	11
F_69396	-700876.19	-962267.22	294.88	10
F_69397	-700875.96	-962130.63	292.72	11
F_69398	-700962.7	-962116.43	288.6	12
F_69399	-701050.34	-962094.05	283.71	12
F_69400	-701169.24	-962053.79	279.7	12
F_69401	-701284.52	-962054.23	277.07	10
F_69402	-700747.73	-962385.03	302.94	6
F_69403	-700743.69	-962275.36	301.96	6
F_69404	-701066.57	-961995.67	281.59	10
F_69405	-700999.05	-962233.68	288.1	5
F_69406	-701038.5	-962248	280.3	10
F_69407	-701044	-962174.2	278.5	10
F_69408	-701123.9	-962122.4	281.9	14
F_69409	-701041	-964073	263.3	5
F_69412	-700956	-964062	259.3	4
F_69414	-701023	-964032	262.5	5
F_69417	-700970	-964040	260.8	5
F_69419	-701032	-963984	261.3	6
F_69421	-700990	-963977	260.6	5
F_69423	-700958	-963960	259.7	4
F_69424	-700990	-963937	259.2	3
F_69425	-701018	-963911	260.7	5
F_69427	-700951	-963903	257.6	4
F_69429	-700906	-963970	259.8	4
F_69431	-700851	-964006	259.2	4
F_69433	-700949	-963998	260.1	2
F_69435	-697387.1	-963147.6	335.5	8
F_69436	-697527.6	-963282.1	323.8	14
F_69437	-697425.1	-963292.7	331.2	6
F_69438	-697428.7	-963358.8	328	4
F_69439	-697387.8	-963371.7	329.5	7
F_69440	-697296.9	-963378.5	325.3	16
F_69441	-697449.2	-963214.7	332.8	13
F_69442	-697458.1	-963619.6	308.1	20
F_69443	-697364.6	-963246.7	335.1	10
F_69444	-697284.1	-963268.3	335.3	12
F_69445	-699675	-964587	279.8	5
F_69446	-699646	-964598	281.3	2
F_69447	-699615	-964607	278.5	4
F_69448	-699611	-964587	280.1	4
F_69449	-699643	-964571	280.9	4
F_69450	-699676	-964568	279.8	4
F_69451	-699642	-964546	281.6	3
F_69452	-699699	-964578	279.7	4
F_69462	-698008.9	-961929.8	297.71	50
F_69463	-698380.9	-961561	292.2	25
F_69464	-697803.8	-962427.4	304.47	35
F_69465	-697882.8	-962518.9	305.67	20
F_69466	-698157.5	-962451.2	274.9	15
F_69467	-698492.1	-962549.9	313.28	60
F_69468	-698427.1	-962281.9	321.87	60
F_69469	-698432.6	-962777.9	306.61	75
F_69511	-702807	-962339	244	14
F_69512	-702820	-962316	243.5	12
F_69513	-702832	-962324	243.6	12
F_69514	-702782	-962570	244.2	12
F_69515	-702813	-962578	244.1	12
F_69516	-702858	-962598	244.6	10
F_69517	-702869	-962605	244.8	10
F_69518	-702863	-962614	244.9	10
F_69519	-702844	-962605	244.7	10
F_69520	-702855	-962630	244.6	10
F_69521	-702831	-962616	244.5	12
F_69522	-702816	-962600	244.3	12
F_69523	-702820	-962635	244.2	10
F_69524	-702852	-962523	244.3	10
F_69525	-702817	-962518	244.3	10
F_69526	-702655	-962575	244.6	10
F_69527	-702983	-962457	244.1	12
F_69528	-702948	-962518	244.2	10
F_69529	-702833	-962582	244.3	12
F_69530	-702828	-962594	244.5	12
F_69536	-697460	-964180	310	16
F_69537	-701497	-961895	268.2	15
F_69538	-701490	-961890	268.2	20
F_69540	-701485	-961885	268.3	15
F_69543	-701490	-961837	268.9	6
F_69547	-701442	-962642	265.6	11
F_69548	-701423	-962652	268	11
F_69549	-701436	-962670	265.5	10
F_69550	-701421	-962715	265.5	15
F_69551	-701409	-962738	265.6	10
F_69552	-701410	-962753	266.8	15
F_69553	-701398	-962757	267	17
F_69554	-701387	-962766	266.7	13
F_69555	-701377	-962768	266.9	15
F_69556	-701380	-962780	267.3	10
F_69557	-701350	-962810	266.6	16
F_69558	-701341	-962823	266.5	10
F_69559	-701324	-962827	267.1	15
F_69560	-701318	-962846	267.1	16
F_69561	-701339	-962842	266.1	15
F_69562	-701344	-962860	265.3	10
F_69563	-701350	-962874	264.6	15
F_69564	-701364	-962857	264.2	14
F_69565	-701396	-962847	263.9	15
F_69566	-701393	-962862	262.4	10
F_69567	-701416	-962863	262.3	16
F_69568	-701387	-962799	266.9	10
F_69569	-701403	-962818	264.5	10
F_69570	-701396	-962829	264.6	10
F_69571	-701317	-962430	273.9	7
F_69572	-701296	-962429	274.5	8
F_69573	-701324	-962455	272.6	9
F_69574	-701306	-962477	272.8	6
F_69575	-701297	-962467	273.6	15
F_69576	-701298	-962463	273.5	15
F_69577	-701295	-962460	274	13
F_69578	-701492	-962699	262.5	6
F_69579	-701496	-962718	261	6
F_69580	-700142.6	-962219.4	319.3	284
F_69581	-700017.7	-963026.7	314.8	195
F_69582	-699511.4	-963099.4	314.5	192
F_69583	-700782.9	-961616.7	291.8	324
F_69584	-702663.9	-961670.9	245	20
F_69585	-702703.4	-961546	243.8	28
F_69586	-702723.2	-960677.8	237.4	40
F_69587	-702649.8	-960543.8	236.9	33
F_69588	-702532.2	-960520.9	239.2	42
F_69589	-702052.9	-962198.1	254.5	236
F_69590	-698661.5	-960648.4	288.8	148
F_69591	-696780.6	-961851.8	321.8	27
F_69592	-699413.8	-963354.1	312.4	86
F_69593	-698884.7	-961701.5	307.1	190
F_69594	-698254.4	-961280.7	288.1	158
F_69595	-698242.1	-962449.5	292	148
F_69596	-699033.1	-962682.9	323.4	147
F_69597	-700758.2	-963445.6	284.3	40
F_69598	-699921.1	-963431.3	302.7	90
F_69599	-700123.6	-963609.5	329.6	27
F_69600	-699949.2	-963698.2	313.5	12
F_69601	-700046.6	-961757.3	294.6	332
F_69602	-702224.2	-963432	254	7
F_69603	-701965.6	-963281.7	249.1	5
F_69604	-702069.4	-963239.7	248	5
F_69605	-702118	-963247.4	248.2	5
F_69606	-702312.6	-963261.1	248.1	5
F_69607	-702040	-963161	246.5	8
F_69608	-701953	-963047	246.91	4
F_69609	-701189	-962658	275.9	10
F_69610	-701207	-962655	275.1	8
F_69611	-701199	-962690	274.9	9
F_69612	-702855	-962336	243.3	10
F_69613	-702871	-962330	243.2	10
F_69614	-702848	-962319	243.3	10
F_69615	-702856	-962300	243.4	10
F_69616	-702878	-962313	243.8	10
F_69617	-702870	-962287	243.4	10
F_69618	-702895	-962317	243.5	10
F_69619	-702829	-962517	245.1	10
F_69620	-698156.6	-961843	307.4	225
F_69621	-699413.6	-960592.4	290.1	318
F_69622	-699881.7	-962531.7	322	316
F_69623	-702617.8	-961040.3	244.7	314
F_69624	-701312.5	-962333	271.9	417
F_69625	-702969.5	-962962.6	254.2	276
F_69626	-702755.3	-962031.7	241	328
F_69627	-698776.3	-961223.2	297.7	186
F_69628	-698938.5	-962161	314.4	234
F_69629	-697381	-960863.6	301.5	84
F_69630	-700298.1	-961020.4	264.7	270
F_69631	-700469.8	-961953.1	302	364
F_69632	-696573.8	-961085.7	316.8	195
F_69633	-701924.7	-961697.2	261.6	255
F_69634	-700607	-962965.8	298.6	253
F_69635	-701492.2	-963231	248.2	45
F_69636	-697533.9	-961894.8	341	244
F_69637	-698639.7	-963028.5	316.3	186
F_69638	-701099.8	-960851	253.9	294
F_69639	-702437.5	-960502.2	242.5	254
F_69640	-701826.7	-961195.5	258.8	290
F_69641	-701235.5	-961833.7	278.4	305
F_69642	-699533.1	-961119.9	279.9	283
F_69643	-700572.3	-962436.4	316.8	328
F_69644	-699771	-962035	299.9	235
F_69645	-700381.9	-961423.9	280.8	321
F_69646	-701387.5	-962867.1	262.5	353
F_69647	-702673.2	-961594.5	244.6	263
F_69648	-701196	-962642	275.5	4
F_69649	-701526	-962556	263.5	4
F_69650	-701681	-962562	257.9	5
F_69651	-701974	-962365	254	4
F_69652	-701895	-962538	254.9	4
F_69653	-701901	-962127	257.8	5
F_69654	-701841	-962400	257.6	5
F_69655	-701437	-963022	248.6	4
F_69656	-701591	-963061	247.4	4
F_69657	-701819	-962768	246.8	4
F_69658	-701622	-962729	251.6	4
F_69659	-701544	-962853	250.7	5
F_69660	-701641	-961782	265.9	4
F_69661	-701611	-961966	265.2	4
F_69662	-701577	-962051	267	4
