ID_GDO_Well_Name	TOP_MD_hloubka_m	BASE_MD_hloubka_m	Horizon_index	Horizon_nazev	Autor_interpretace	GIS_X	GIS_Y
69203	0	1.2	QS	Q_Svahoviny	Jan Bohadlo	-703912.3	-962322.6
69203	1.2	8.1	QF-s	Q_Fluvial_Sterk	Jan Bohadlo	-703912.3	-962322.6
69203	8.1	10.9	TNw-j	T_Nadwenglowy_Jil	Jan Bohadlo	-703912.3	-962322.6
69203	10.9	20.1	TNw-p	T_Nadwenglowy_Pisek	Jan Bohadlo	-703912.3	-962322.6
69203	20.1	43.2	TNw-j	T_Nadwenglowy_Jil	Jan Bohadlo	-703912.3	-962322.6
69203	43.2	44.1	TNw-p	T_Nadwenglowy_Pisek	Jan Bohadlo	-703912.3	-962322.6
69205	0	0.1	QS	Q_Svahoviny	Jan Bohadlo	-703636.6	-962552.6
69205	0.1	1.1	TNg-j	T_Nadwenglowy_G_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	1.1	3.1	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	3.1	7.4	TCb3-j	T_Sloj_3_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	7.4	9	TCb3-p	T_Sloj_3_Pisek	Jan Bohadlo	-703636.6	-962552.6
69205	9	12.15	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	12.15	13.1	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	13.1	17	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	17	26	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-703636.6	-962552.6
69205	26	27.3	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	27.3	28	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	28	30	TCb3-j	T_Sloj_3_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	30	30.55	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	30.55	33	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	33	33.9	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	33.9	36.35	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	36.35	39.6	TCb3-p	T_Sloj_3_Pisek	Jan Bohadlo	-703636.6	-962552.6
69205	39.6	40	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	40	42	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	42	45.95	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	45.95	46.5	TCb3-u	T_Sloj_3_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	46.5	49.2	TCb3-uj	T_Sloj_3_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	49.2	50.15	TNd-j	T_Nadwenglowy_D_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	50.15	50.5	TNd-p	T_Nadwenglowy_D_Pisek	Jan Bohadlo	-703636.6	-962552.6
69205	50.5	55	TNd-uj	T_Nadwenglowy_D_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	55	72.15	TNd-j	T_Nadwenglowy_D_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	72.15	73	TCb2-uj	T_Sloj_2_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	73	73.75	TCb2-u	T_Sloj_2_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	73.75	75.2	TCb2-uj	T_Sloj_2_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	75.2	79.7	TCb2-u	T_Sloj_2_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	79.7	80.85	TCb2-uj	T_Sloj_2_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	80.85	82.4	TCb2-u	T_Sloj_2_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	82.4	84.05	TCb2-j	T_Sloj_2_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	84.05	84.45	TCb2-uj	T_Sloj_2_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	84.45	85.1	TCb2-u	T_Sloj_2_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	85.1	86.6	TCb2-j	T_Sloj_2_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	86.6	87.25	TCb2-u	T_Sloj_2_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	87.25	94	TCb2-j	T_Sloj_2_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	94	94.8	TCb2-uj	T_Sloj_2_Uhel_Jil	Jan Bohadlo	-703636.6	-962552.6
69205	94.8	95.4	TCb2-u	T_Sloj_2_Uhli	Jan Bohadlo	-703636.6	-962552.6
69205	95.4	107.15	TMw-j	T_Meziwenglowy_Jil	Jan Bohadlo	-703636.6	-962552.6
