id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2026-01-05,19,-10.1,1,90,93.1,0.7,1018.7
12600,"Bielsko Biała",2026-01-05,19,-3.5,0,0,76.0,0,1014.2
12235,Chojnice,2026-01-05,19,-3.3,2,160,92.7,0.01,1014.9
12550,Częstochowa,2026-01-05,19,-3.3,2,70,73.7,0.01,1014.9
12160,Elbląg,2026-01-05,19,-3.6,4,190,97.8,0.2,1015.2
12155,Gdańsk,2026-01-05,19,-2.6,3,160,92.1,0.01,1014.9
12300,Gorzów,2026-01-05,19,-3.6,1,180,85.9,2.5,1014.2
12135,Hel,2026-01-05,19,-0.7,3,180,92.2,0.01,1014.4
12500,"Jelenia Góra",2026-01-05,19,-7.6,1,60,80.9,0.01,1016.2
12435,Kalisz,2026-01-05,19,-5.2,2,110,78.7,0.1,1015.2
12650,"Kasprowy Wierch",2026-01-05,19,-11.4,4,180,90.8,0,
12560,Katowice,2026-01-05,19,-2.9,2,50,72.1,0.01,1014.6
12185,Kętrzyn,2026-01-05,19,-5,2,110,94.8,0.3,1016.8
12570,Kielce,2026-01-05,19,-5.1,2,350,80.0,0.01,1015.2
12520,Kłodzko,2026-01-05,19,-7.6,0,0,86.9,0.01,1016.1
12345,Koło,2026-01-05,19,-9.4,2,140,90.2,0.9,1014.6
12100,Kołobrzeg,2026-01-05,19,-1.5,4,170,88.8,0.01,1012.7
12105,Koszalin,2026-01-05,19,-1.5,3,170,84.9,0.5,1013.3
12488,Kozienice,2026-01-05,19,-8.3,1,300,84.7,0.01,1016.4
12566,Kraków,2026-01-05,19,-3,3,40,79.1,0,1014.2
12670,Krosno,2026-01-05,19,-3.7,1,70,69.7,0,1013.7
12415,Legnica,2026-01-05,19,-7.5,1,180,84.8,0.01,1015.3
12690,Lesko,2026-01-05,19,-4,1,80,70.8,0,1013.9
12418,Leszno,2026-01-05,19,-7.6,0,0,94.7,0.2,1015
12125,Lębork,2026-01-05,19,-1.4,2,200,88.8,6.4,1013.9
12495,Lublin,2026-01-05,19,-4.2,3,70,75.9,0.01,1015.4
12120,Łeba,2026-01-05,19,-1.7,4,170,88.8,4.6,1013.5
12465,Łódź,2026-01-05,19,-9.3,2,70,91.7,0.1,1016
12280,Mikołajki,2026-01-05,19,-5.2,3,130,92.6,0.3,1017.2
12270,Mława,2026-01-05,19,-6.9,1,80,93.3,2,1016.9
12660,"Nowy Sącz",2026-01-05,19,-2.8,0,0,76.1,0,1013.8
12272,Olsztyn,2026-01-05,19,-3.6,1,160,90.0,0.5,1016.3
12530,Opole,2026-01-05,19,-3.9,1,360,77.7,0.01,1014.8
12285,Ostrołęka,2026-01-05,19,-9.8,1,50,90.9,0.2,1016.3
12230,Piła,2026-01-05,19,-2.9,1,150,86.0,0.01,1014.4
12001,Platforma,2026-01-05,19,1.6,7,200,82.7,0,1013
12360,Płock,2026-01-05,19,-9.3,1,80,96.1,0.01,1016.5
12330,Poznań,2026-01-05,19,-6.5,1,180,91.1,0.3,1014.9
12695,Przemyśl,2026-01-05,19,-2.9,2,99,78.5,0,1013.8
12540,Racibórz,2026-01-05,19,-4,2,310,82.6,0,1014.7
12210,Resko,2026-01-05,19,-1.4,3,200,76.3,0,1012.9
12580,Rzeszów,2026-01-05,19,-3.5,2,90,80.8,0,1014.2
12585,Sandomierz,2026-01-05,19,-4.4,2,30,78.8,0,1015
12385,Siedlce,2026-01-05,19,-8.3,1,80,86.8,0.2,1017.4
12310,Słubice,2026-01-05,19,-3.8,2,160,84.6,1,1013.9
12469,Sulejów,2026-01-05,19,-8.9,2,20,90.2,0.3,1015.9
12195,Suwałki,2026-01-05,19,-6.6,1,180,94.0,1.7,1018.3
12205,Szczecin,2026-01-05,19,-1.1,3,190,77.0,0.5,1013
12215,Szczecinek,2026-01-05,19,-2.6,2,99,89.4,0.1,1014.2
12510,Śnieżka,2026-01-05,19,-14.1,6,230,89.1,2,
12200,Świnoujście,2026-01-05,19,-1.2,3,190,84.9,0.2,1012.3
12575,Tarnów,2026-01-05,19,-2.7,0,0,69.9,0,1013.9
12399,Terespol,2026-01-05,19,-3.2,2,110,70.9,0.01,1017.8
12250,Toruń,2026-01-05,19,-2.5,1,140,77.9,0.6,1015.2
12115,Ustka,2026-01-05,19,-1.6,3,170,90.8,20.6,1013.1
12375,Warszawa,2026-01-05,19,-6.1,2,110,83.7,0.6,1016.5
12455,Wieluń,2026-01-05,19,-4.2,2,120,75.9,0.5,1015
12497,Włodawa,2026-01-05,19,-3.5,3,90,74.8,0.01,1016.9
12424,Wrocław,2026-01-05,19,-5.9,1,140,85.0,0.4,1015.2
12625,Zakopane,2026-01-05,19,-6,0,0,67.1,0,
12595,Zamość,2026-01-05,19,-3.7,4,100,77.7,0,1015.5
12400,"Zielona Góra",2026-01-05,19,-4.2,1,190,73.0,2.2,1014.6
