WSI,FULL_NAME,LAT,LON,ELEVATION,DIST_KM,BEGIN_DATE,END_DATE,API30,BO,C-C1Av,C-C1Co,C-C1Mn,C-C1Mx,C-C2Av,C-C2Co,C-C2Mn,C-C2Mx,C-C3Av,C-C3Co,C-C3Mn,C-C3Mx,C-H1Av,C-H1Co,C-H1Mn,C-H1Mx,C-H2Av,C-H2Co,C-H2Mn,C-H2Mx,C-H3Av,C-H3Co,C-H3Mn,C-H3Mx,C-I1Co,C-I1Md,C-I1Su,C-I2Co,C-I2Md,C-I2Su,C-I3Co,C-I3Md,C-I3Su,C-MLAv,C-MLI,Casmax,D,D10,DE,Dmax,Dprum,E,F,Fmax,Fprum,Gph850,Gph925,H,JI,KR,LE,ML,MS,N,NA,P,P_hm,RDIF10,RDIF1H,RDIR1H,REUV10,REUV1H,RGLB10,RGLB1H,RGLB_D,RLWD1H,RO,SCE,SCEa,SCEdif,SN,SNO,SRA,SRA10M,SRA1H,SSV,SSV10M,SSV1H,SV,SVH,SVHa,T,T05,T10,T100,T20,T50,TMA,TMI,TMInoc,TPM,Td,VV,VY,W1,W2,ppp,ww
0-203-0-20407036001,Chotyně,50.83897,14.87175,260.0,3.462946042883892,2016-05-11T15:40:00Z,3999-12-31T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407036001,Chotyně,50.83897,14.87175,260.0,3.462946042883892,2013-05-01T00:00:00Z,2016-05-11T15:39:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407036001,Chotyně,50.8367,14.8703,260.0,3.7327691172798083,1963-06-01T00:00:00Z,2005-06-30T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407036001,Chotyně,50.83658,14.86936,257.0,3.7769905179749492,2005-07-01T00:00:00Z,2013-03-31T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407033001,"Chrastava, Dolní Vítkov",50.8408,14.9617,350.0,5.379838807929489,1961-01-01T00:00:00Z,1986-01-31T23:59:00Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407034001,Chrastava,50.81872,14.95861,314.0,6.840295145036649,2013-09-10T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407034001,Chrastava,50.81811,14.95839,310.0,6.882774329658781,1988-01-01T00:00:00Z,2013-09-09T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407027001,"Mníšek, Fojtka",50.8278,15.0586,395.0,12.162299407915905,1989-12-01T00:00:00Z,1997-04-30T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407027001,"Mníšek, Fojtka",50.8278,15.0586,395.0,12.162299407915905,2003-06-01T00:00:00Z,2011-07-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407027001,"Mníšek, Fojtka",50.82725,15.05856,395.0,12.181225058560159,2011-08-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407027001,"Mníšek, Oldřichov v Hájích",50.8372,15.0675,390.0,12.4394532848308,1970-01-01T00:00:00Z,1989-10-01T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20407027001,"Mníšek, Oldřichov v Hájích",50.852,15.087,475.0,13.477292662681771,1955-12-01T00:00:00Z,1959-09-30T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
