,status codes (int):,AB,,A - code 0-9 according to data revision,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,B - code 0-9 according to site visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,data not revised,,,,,,,,,,0,,site not visited,,,,,,,,,,,,,,,
,,1,,data seems OK,,,,,,,,,,1,,"site visited, seems ok",,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,2,,probe partially flooded,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,3,,probe flooded,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
,,5,,"sensor 1-4 valid, 5 invalid",,,,,,partially flooded,,,,5,,,,,,,,,,,,,,,,,
,,6,,"sensor 1-3 valid, 4-5 invalid",,,,,,,,,,6,,,,,,,,,,,,,,,,,
,,7,,"sensor 1-2 valid, 3-5 invalid",,,,,,,,,,7,,,,,,,,,,,,,,,,,
,,8,,"sensor 1 valid, 2-5 invalid",,,,,,,,,,8,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,probe codes (string):,U**,obsazeni sondou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,bez sondy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uhelná lesík,,,,lab,Uhelná,,,,,,,,,,,,,,,,,,,,,,
author,note,date,time,1,2,3,4,5,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34
PE,,2024-03-30,15:50,U01,U02,U03,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,2024-09-25,,10,10,10,,U05,,,,,,,,,,,,,,,,,,,,,,,
,,2025-01-24,10:45,10,10,10,,,,,,,,,,,,,,,,U24,,,,,,,,,
PR, ,2025-01-25,,10,10,10,U04,,U11,U12,U13,U14,U15,,U17,U18,U19,U20,U21,U22,U23,10,U25,U26,U27,U28,U29,U31,U32,U33,U34
PR,,2025-03-07,,11,11,11,11,,,,,,,,,,,,,,,10,,,,,,,,,
PR,U16 az 14.3.?,2025-03-14,,11,11,11,11,,3,3,,3,3,U16,3,3,3,,3,1,,10,1,1,,3,,,1,,
,,2025-03-21,11:59,10,13,13,10,,,,,,,,,,,,,,,10,,,,,,,,,
PE,"kontrola U02 (1200-1245), U03 (1215-1300)",2025-03-21,12:00,11,X,X,11,,,,3,,,,,,,1,,,1,11,,,3,,3,,,,
PE,,2025-03-21,13:00,11,U02,U03,11,,,,,,,,,,,,,,,X,,,,,,,,2,
PR,,2025-03-25,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,1,,X,
PR,,2025-05-14,,10,10,10,10,X,,,,,,,,,,,,,,,,,,,,,,,
PR,,2025-05-16,,10,10,10,10,U36,,,,,,,,,,,,,,,,,,,,,,,
PR,,2025-06-30,,11,11,11,11,,3,3,3,3,3,3,2,3,3,,3,1,1,,1,1,3,2,3,1,1,,
PR,,2025-07-01,,10,10,10,10,,,,,,,,,,,,,,,,,,,,X,,,,
PR,,2025-08-25,,10,10,10,10,,,,,,,,,,,X,,,,,,,,,,,,,
PR,,2025-09-12,6:00,11,11,11,11,,3,,3,,3,3,3,3,3,,3,1,1,,1,,2,,,1,1,,
PR,,2025-09-12,7:00,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,,X,X,,
PR,,2025-10-01,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
,,2026-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,2026-02-26,,,,,,,,,,,U15,U16,U17,,,,U21,,,,,,,,,,,,
